Position ID,Action,Amount,Units,Open Rate,Close Rate,Spread,Profit,Open Date,Close Date,Take Profit Rate,Stop Loss Rate,Rollover Fees And Dividends,Is Real,Leverage,Notes
836013674,Buy Bitcoin,11.93,0.000536,22247.74,23374.15,0.09,0.60,17/12/2020 05:46,17/12/2020 09:19,0.00,0.01,0.00,Real,,
832061865,Buy Ams AG,10.66,0.507866,18.64,19.58,0.00,0.54,14/12/2020 15:51,17/12/2020 08:16,0.00,0.01,0.00,Real,,
829954485,Sell Powershares QQQ,5.95,0.019850,299.75,309.55,0.01,-0.19,11/12/2020 14:42,16/12/2020 20:03,0.01,449.59,0.00,CFD,1,
828443038,Sell Powershares QQQ,16.41,0.054613,300.48,309.55,0.03,-0.50,10/12/2020 14:47,16/12/2020 20:03,0.01,450.72,0.00,CFD,1,
819306214,Buy MOMO Inc ADR,4.10,0.296029,13.85,13.13,0.00,-0.21,03/12/2020 14:50,16/12/2020 15:02,0.00,0.01,0.00,Real,,
797316971,Buy CVS Health Corp,10.89,0.160312,67.93,68.90,0.00,0.16,17/11/2020 14:51,15/12/2020 15:45,0.00,0.01,0.00,Real,,
795141799,Buy BYD Co Ltd,21.79,0.956677,176.60,177.80,0.00,0.15,16/11/2020 07:00,15/12/2020 01:48,0.00,0.01,0.00,Real,,
818638379,Buy BYD Co Ltd,10.81,0.480242,174.50,177.80,0.00,0.20,03/12/2020 01:30,15/12/2020 01:48,0.00,0.01,0.00,Real,,
805037872,Buy BYD Co Ltd,10.88,0.427917,197.10,177.80,0.00,-1.07,24/11/2020 07:21,15/12/2020 01:48,0.00,0.01,0.00,Real,,
771408511,Buy Xinyi Solar Holdings Ltd,11.08,6.605623,13.00,14.12,0.00,0.95,28/10/2020 01:30,15/12/2020 01:47,0.00,0.01,0.00,Real,,
778858254,Buy Xinyi Solar Holdings Ltd,11.06,6.331237,13.54,14.12,0.00,0.47,03/11/2020 07:36,15/12/2020 01:47,0.00,0.01,0.00,Real,,
832476817,Buy Carnival Corp,5.97,0.284557,20.98,20.97,0.00,0.00,14/12/2020 20:43,14/12/2020 20:44,0.00,0.01,0.00,Real,,
808031757,Buy Boeing,8.20,0.037653,217.78,228.75,0.00,0.41,25/11/2020 15:55,14/12/2020 20:43,0.00,0.01,0.00,Real,,
832084131,Buy VIX Short-Term Futures ETN Ipath (B),63.47,3.581828,17.72,17.63,0.11,-0.32,14/12/2020 15:59,14/12/2020 16:03,0.00,0.01,0.00,CFD,1,
790251867,"Buy Micron Technology, Inc.",10.91,0.199488,54.69,71.21,0.00,3.30,10/11/2020 15:24,14/12/2020 15:58,0.00,0.01,0.00,Real,,
769596209,"Buy Micron Technology, Inc.",11.08,0.213077,52.00,71.22,0.00,4.10,26/10/2020 15:03,14/12/2020 15:58,0.00,0.01,0.00,Real,,
830667179,Sell Bitcoin,8.95,0.000467,19153.94,19374.71,0.07,-0.10,13/12/2020 17:52,14/12/2020 15:10,0.01,28731.26,0.00,CFD,1,
788563732,Buy Martin Marietta Materials Inc,11.01,0.041693,264.07,265.64,0.00,0.07,09/11/2020 18:07,14/12/2020 14:47,0.00,0.01,0.02,Real,,
780807772,Buy Martin Marietta Materials Inc,11.06,0.045516,242.99,265.64,0.00,1.03,04/11/2020 14:41,14/12/2020 14:47,0.00,0.01,0.02,Real,,
777258581,Buy Citigroup,11.14,0.269082,41.40,59.91,0.00,4.98,02/11/2020 14:42,14/12/2020 14:45,0.00,0.01,0.00,Real,,
793707245,Buy Citigroup,10.89,0.226309,48.11,59.91,0.00,2.67,12/11/2020 18:54,14/12/2020 14:45,0.00,0.01,0.00,Real,,
779428533,Buy Citigroup,11.06,0.254194,43.51,59.91,0.00,4.17,03/11/2020 14:58,14/12/2020 14:45,0.00,0.01,0.00,Real,,
828007320,Sell Bitcoin,8.20,0.000456,18000.31,19372.76,0.07,-0.63,10/12/2020 14:20,13/12/2020 10:04,0.01,26999.29,0.00,CFD,1,
829665893,Sell Bitcoin,2.97,0.000165,18008.21,19372.76,0.02,-0.23,11/12/2020 14:09,13/12/2020 10:04,0.01,27010.73,0.00,CFD,1,
808068513,Buy Exxon-Mobil,8.20,0.198499,41.31,43.24,0.00,0.38,25/11/2020 16:13,11/12/2020 17:32,0.00,0.01,0.00,Real,,
807849932,Buy Spirit AeroSystems Holdings Inc,8.20,0.236107,34.73,37.12,0.00,0.56,25/11/2020 15:12,11/12/2020 17:30,0.00,0.01,0.00,Real,,
808027434,Buy American Airlines Group Inc,11.49,0.766000,15.00,17.19,0.00,1.68,25/11/2020 15:53,11/12/2020 16:27,165.00,0.01,0.00,Real,,
808023737,Buy Carnival Corp,8.20,0.401174,20.44,21.87,0.00,0.57,25/11/2020 15:52,11/12/2020 16:25,0.00,0.01,0.00,Real,,
824297043,Buy Ams AG,9.79,0.433472,20.07,18.92,0.00,-0.56,08/12/2020 14:15,11/12/2020 08:15,0.00,18.95,0.00,Real,,
816751501,Buy Xiaomi Corp,4.10,1.297451,24.50,27.55,0.00,0.51,02/12/2020 05:17,11/12/2020 07:55,0.00,0.01,0.00,Real,,
829003834,Buy VIX Short-Term Futures ETN Ipath (B),43.15,2.494220,17.30,17.20,0.08,-0.25,10/12/2020 16:55,10/12/2020 16:58,0.00,0.01,0.00,CFD,1,
807766768,Buy Barrick Gold,8.20,0.355748,23.05,23.47,0.00,0.15,25/11/2020 14:50,10/12/2020 15:15,0.00,0.01,0.00,Real,,
813610071,Buy Barrick Gold,4.10,0.181980,22.53,23.47,0.00,0.17,30/11/2020 15:18,10/12/2020 15:15,0.00,0.01,0.00,Real,,
813921345,Buy SPDR Gold,41.02,0.246352,166.51,172.94,0.08,1.58,30/11/2020 15:58,10/12/2020 15:13,0.00,0.01,0.00,CFD,1,
828040795,Buy VIX Short-Term Futures ETN Ipath (B),32.36,1.865130,17.35,17.08,0.06,-0.50,10/12/2020 14:30,10/12/2020 14:52,0.00,16.77,0.00,CFD,1,
828253695,Buy ProShares UltraPro Short QQQ,32.36,1.829282,17.69,17.24,0.06,-0.82,10/12/2020 14:34,10/12/2020 14:52,0.00,17.10,0.00,CFD,1,
827451897,Buy Powershares QQQ,8.20,0.027092,302.67,300.10,0.01,-0.07,09/12/2020 19:28,10/12/2020 14:44,0.00,0.01,0.00,CFD,1,
827980712,Buy BBVA,37.85,7.766027,4.03,4.01,0.00,-0.14,10/12/2020 14:09,10/12/2020 14:10,0.00,0.00,0.00,Real,,
778934682,Buy BBVA,22.11,7.376638,2.56,4.03,0.00,13.07,03/11/2020 10:07,10/12/2020 14:09,0.00,0.00,0.00,Real,,
780498575,Buy BBVA,11.06,3.873597,2.44,4.03,0.00,7.42,04/11/2020 10:20,10/12/2020 14:08,0.00,0.00,0.00,Real,,
792177552,Buy Crowdstrike Holdings,25.10,0.191969,130.75,174.49,0.00,8.40,11/11/2020 17:26,09/12/2020 15:37,0.00,0.01,0.00,Real,,
815731974,Buy Nikola Corp,4.10,0.237269,17.28,18.63,0.00,0.32,01/12/2020 15:02,08/12/2020 18:52,0.00,0.01,0.00,Real,,
819325033,Buy Zynerba Pharmaceuticals Inc,4.10,0.929705,4.41,4.40,0.00,-0.01,03/12/2020 14:54,08/12/2020 14:49,0.00,0.01,0.00,Real,,
820577154,Sell Bitcoin,4.10,0.000217,18879.48,19461.49,0.03,-0.13,04/12/2020 11:54,07/12/2020 07:57,5.00,28319.22,0.00,CFD,1,
771372763,"Buy Activision Blizzard, Inc.",33.25,0.410089,81.08,79.39,0.00,-0.69,27/10/2020 19:57,02/12/2020 17:16,0.00,0.01,0.00,Real,,
810758343,"Buy Activision Blizzard, Inc.",10.87,0.139807,77.75,79.39,0.00,0.23,27/11/2020 16:31,02/12/2020 17:16,0.00,0.01,0.00,Real,,
788577289,"Buy Activision Blizzard, Inc.",11.01,0.143322,76.82,79.39,0.00,0.37,09/11/2020 18:15,02/12/2020 17:16,0.00,0.01,0.00,Real,,
814153900,Sell Bitcoin,5.74,0.000298,19291.70,19783.60,0.04,-0.15,30/11/2020 16:39,01/12/2020 10:05,0.01,28937.55,0.00,CFD,1,
